"zip_code","latitude","longitude","city","state","county"
"00501",40.922326,-72.637078,"Holtsville","NY","Suffolk"
"00544",40.922326,-72.637078,"Holtsville","NY","Suffolk"
"00601",18.18027,-66.75266,"Adjuntas","PR","Adjuntas"
"00602",18.36075,-67.17541,"Aguada","PR","Aguada"
"00603",18.45744,-67.12225,"Aguadilla","PR","Aguadilla"
"00604",18.49352,-67.135883,"Aguadilla","PR","Aguadilla"
"00605",18.465162,-67.141486,"Aguadilla","PR","Aguadilla"
"00606",18.16585,-66.93716,"Maricao","PR","Maricao"
"00610",18.2911,-67.12243,"Anasco","PR","Anasco"
"00611",18.27698,-66.80688,"Angeles","PR","Utuado"
"00612",18.41283,-66.7051,"Arecibo","PR","Arecibo"
"00613",18.458093,-66.732732,"Arecibo","PR","Arecibo"
"00614",18.429675,-66.674506,"Arecibo","PR","Arecibo"
"00616",18.41878,-66.6679,"Bajadero","PR","Arecibo"
"00617",18.44598,-66.56006,"Barceloneta","PR","Barceloneta"
"00622",17.98892,-67.1566,"Boqueron","PR","Cabo Rojo"
"00623",18.08429,-67.15336,"Cabo Rojo","PR","Cabo Rojo"
"00624",18.05905,-66.71932,"Penuelas","PR","Penuelas"
"00627",18.41905,-66.86037,"Camuy","PR","Camuy"
"00631",18.1852,-66.83169,"Castaner","PR","Lares"
"00636",18.113284,-67.039706,"Rosario","PR","San German"
"00637",18.081,-66.94659,"Sabana Grande","PR","Sabana Grande"
"00638",18.28462,-66.5137,"Ciales","PR","Ciales"
"00641",18.26742,-66.70212,"Utuado","PR","Utuado"
"00646",18.43251,-66.28429,"Dorado","PR","Dorado"
"00647",17.96667,-66.94266,"Ensenada","PR","Guanica"
"00650",18.34487,-66.58347,"Florida","PR","Florida"
"00652",18.45614,-66.60194,"Garrochales","PR","Arecibo"
"00653",17.99413,-66.90266,"Guanica","PR","Guanica"
"00656",18.04186,-66.79123,"Guayanilla","PR","Guayanilla"
"00659",18.41036,-66.79691,"Hatillo","PR","Hatillo"
"00660",18.13412,-67.11399,"Hormigueros","PR","Hormigueros"
"00662",18.46622,-67.01508,"Isabela","PR","Isabela"
"00664",18.21064,-66.59066,"Jayuya","PR","Jayuya"
"00667",18.01246,-67.0417,"Lajas","PR","Lajas"
"00669",18.27019,-66.86727,"Lares","PR","Lares"
"00670",18.23782,-66.98852,"Las Marias","PR","Las Marias"
"00674",18.42229,-66.4891,"Manati","PR","Manati"
"00676",18.37897,-67.08098,"Moca","PR","Moca"
"00677",18.33535,-67.23155,"Rincon","PR","Rincon"
"00678",18.42949,-66.93016,"Quebradillas","PR","Quebradillas"
"00680",18.16307,-67.36122,"Mayaguez","PR","Mayaguez"
"00681",18.219023,-67.508068,"Mayaguez","PR","Mayaguez"
"00682",18.22415,-67.15309,"Mayaguez","PR","Mayaguez"
"00683",18.10926,-67.03803,"San German","PR","San German"
"00685",18.33656,-66.97518,"San Sebastian","PR","San Sebastian"
"00687",18.31707,-66.42029,"Morovis","PR","Morovis"
"00688",18.3807,-66.62496,"Sabana Hoyos","PR","Arecibo"
"00690",18.49363,-67.09734,"San Antonio","PR","Aguadilla"
"00692",18.40905,-66.33768,"Vega Alta","PR","Vega Alta"
"00693",18.42633,-66.39811,"Vega Baja","PR","Vega Baja"
"00694",18.48327,-66.39269,"Vega Baja","PR","Vega Baja"
"00698",18.07274,-66.85519,"Yauco","PR","Yauco"
"00703",18.24739,-66.13143,"Aguas Buenas","PR","Aguas Buenas"
"00704",17.97442,-66.22888,"Aguirre","PR","Guayama"
"00705",18.1294,-66.26653,"Aibonito","PR","Aibonito"
"00707",18.01752,-65.92127,"Maunabo","PR","Maunabo"
"00714",17.9981,-66.05635,"Arroyo","PR","Arroyo"
"00715",17.99738,-66.56104,"Mercedita","PR","Ponce"
"00716",17.99942,-66.59868,"Ponce","PR","Ponce"
"00717",18.00272,-66.61146,"Ponce","PR","Ponce"
"00718",18.23145,-65.76067,"Naguabo","PR","Naguabo"
"00719",18.28879,-66.25316,"Naranjito","PR","Naranjito"
"00720",18.21559,-66.42421,"Orocovis","PR","Orocovis"
"00721",18.364161,-65.778288,"Palmer","PR","Rio Grande"
"00723",18.03139,-66.01122,"Patillas","PR","Patillas"
"00725",18.22052,-66.03962,"Caguas","PR","Caguas"
"00726",18.212965,-66.058033,"Caguas","PR","Caguas"
"00727",18.21142,-66.07374,"Caguas","PR","Caguas"
"00728",18.00697,-66.65995,"Ponce","PR","Ponce"
"00729",18.33524,-65.88677,"Canovanas","PR","Canovanas"
"00730",18.03256,-66.61384,"Ponce","PR","Ponce"
"00731",18.09914,-66.63279,"Ponce","PR","Ponce"
"00732",18.021781,-66.613742,"Ponce","PR","Ponce"
"00733",18.019331,-66.619165,"Ponce","PR","Ponce"
"00734",17.999499,-66.643934,"Ponce","PR","Ponce"
"00735",18.2525,-65.67534,"Ceiba","PR","Ceiba"
"00736",18.10736,-66.14994,"Cayey","PR","Cayey"
"00737",18.102967,-66.139274,"Cayey","PR","Cayey"
"00738",18.31793,-65.66793,"Fajardo","PR","Fajardo"
"00739",18.17543,-66.16198,"Cidra","PR","Cidra"
"00740",18.33251,-65.63419,"Puerto Real","PR","Fajardo"
"00741",18.16569,-65.75506,"Punta Santiago","PR","Humacao"
"00742",18.264872,-65.594769,"Roosevelt Roads","PR","Ceiba"
"00744",18.206329,-65.743058,"Rio Blanco","PR","Naguabo"
"00745",18.3466,-65.81382,"Rio Grande","PR","Rio Grande"
"00751",18.01205,-66.25871,"Salinas","PR","Salinas"
"00754",18.1447,-65.97565,"San Lorenzo","PR","San Lorenzo"
"00757",17.9933,-66.39056,"Santa Isabel","PR","Santa Isabel"
"00765",18.12365,-65.43013,"Vieques","PR","Vieques"
"00766",18.13039,-66.4757,"Villalba","PR","Villalba"
"00767",18.07033,-65.89618,"Yabucoa","PR","Yabucoa"
"00769",18.09459,-66.3607,"Coamo","PR","Coamo"
"00771",18.18797,-65.86916,"Las Piedras","PR","Las Piedras"
"00772",18.43048,-65.90377,"Loiza","PR","Loiza"
"00773",18.34073,-65.72756,"Luquillo","PR","Luquillo"
"00775",18.31387,-65.28618,"Culebra","PR","Culebra"
"00777",18.22365,-65.90904,"Juncos","PR","Juncos"
"00778",18.26319,-65.97938,"Gurabo","PR","Gurabo"
"00780",18.09998,-66.57032,"Coto Laurel","PR","Ponce"
"00782",18.22501,-66.22452,"Comerio","PR","Comerio"
"00783",18.30348,-66.32851,"Corozal","PR","Corozal"
"00784",18.00558,-66.13651,"Guayama","PR","Guayama"
"00785",18.018822,-66.795603,"Guayama","PR","Guayanilla"
"00786",18.1357,-66.22881,"La Plata","PR","Aibonito"
"00791",18.14391,-65.81398,"Humacao","PR","Humacao"
"00792",18.138029,-65.788499,"Humacao","PR","Humacao"
"00794",18.19934,-66.31179,"Barranquitas","PR","Barranquitas"
"00795",18.05128,-66.49485,"Juana Diaz","PR","Juana Diaz"
"00801",18.322285,-64.963715,"St Thomas","VI","Saint Thomas"
"00802",18.34349,-64.9287,"St Thomas","VI","Saint Thomas"
"00803",18.322285,-64.963715,"St Thomas","VI","Saint Thomas"
"00804",18.322285,-64.963715,"St Thomas","VI","Saint Thomas"
"00805",18.322285,-64.963715,"St Thomas","VI","Saint Thomas"
"00820",17.7388,-64.70695,"Christiansted","VI","Saint Croix"
"00821",17.734211,-64.734694,"Christiansted","VI","Saint Croix"
"00822",17.734211,-64.734694,"Christiansted","VI","Saint Croix"
"00823",17.734211,-64.734694,"Christiansted","VI","Saint Croix"
"00824",17.734211,-64.734694,"Christiansted","VI","Saint Croix"
"00830",18.33857,-64.73802,"St John","VI","Saint John"
"00831",18.32816,-64.740737,"St John","VI","Saint John"
"00840",17.72649,-64.84717,"Frederiksted","VI","Saint Croix"
"00841",17.734211,-64.734694,"Frederiksted","VI","Saint Croix"
"00850",17.72763,-64.79122,"Kingshill","VI","Saint Croix"
"00851",17.74757,-64.78737,"Kingshill","VI","Saint Croix"
"00901",18.46478,-66.10277,"San Juan","PR","San Juan"
"00902",18.410462,-66.060533,"San Juan","PR","San Juan"
"00906",18.46446,-66.09499,"San Juan","PR","San Juan"
"00907",18.45287,-66.08381,"San Juan","PR","San Juan"
"00908",18.410462,-66.060533,"San Juan","PR","San Juan"
"00909",18.44131,-66.06866,"San Juan","PR","San Juan"
"00910",18.410462,-66.060533,"San Juan","PR","San Juan"
"00911",18.45133,-66.05636,"San Juan","PR","San Juan"
"00912",18.44503,-66.05995,"San Juan","PR","San Juan"
"00913",18.45024,-66.04275,"San Juan","PR","San Juan"
"00914",18.410462,-66.060533,"San Juan","PR","San Juan"
"00915",18.43673,-66.04576,"San Juan","PR","San Juan"
"00916",18.410462,-66.060533,"San Juan","PR","San Juan"
"00917",18.4208,-66.04989,"San Juan","PR","San Juan"
"00918",18.42139,-66.06774,"San Juan","PR","San Juan"
"00919",18.410462,-66.060533,"San Juan","PR","San Juan"
"00920",18.41904,-66.09023,"San Juan","PR","San Juan"
"00921",18.39206,-66.0871,"San Juan","PR","San Juan"
"00922",18.410462,-66.060533,"San Juan","PR","San Juan"
"00923",18.41146,-66.03715,"San Juan","PR","San Juan"
"00924",18.39987,-66.01344,"San Juan","PR","San Juan"
"00925",18.40028,-66.05058,"San Juan","PR","San Juan"
"00926",18.34691,-66.05434,"San Juan","PR","San Juan"
"00927",18.38884,-66.07149,"San Juan","PR","San Juan"
"00928",18.410462,-66.060533,"San Juan","PR","San Juan"
"00929",18.410462,-66.060533,"San Juan","PR","San Juan"
"00930",18.410462,-66.060533,"San Juan","PR","San Juan"
"00931",18.410462,-66.060533,"San Juan","PR","San Juan"
"00933",18.410462,-66.060533,"San Juan","PR","San Juan"
"00934",18.41372,-66.11998,"Fort Buchanan","PR","Bayamon"
"00935",18.410462,-66.060533,"San Juan","PR","San Juan"
"00936",18.410462,-66.060533,"San Juan","PR","San Juan"
"00937",18.410462,-66.060533,"San Juan","PR","San Juan"
"00938",18.410462,-66.060533,"San Juan","PR","San Juan"
"00939",18.410462,-66.060533,"San Juan","PR","San Juan"
"00940",18.410462,-66.060533,"San Juan","PR","San Juan"
"00949",18.43166,-66.21349,"Toa Baja","PR","Toa Baja"
"00950",18.46201,-66.23917,"Toa Baja","PR","Toa Baja"
"00951",18.43175,-66.25628,"Toa Baja","PR","Toa Baja"
"00952",18.42874,-66.18897,"Sabana Seca","PR","Toa Baja"
"00953",18.36319,-66.24764,"Toa Alta","PR","Toa Alta"
"00954",18.358939,-66.258108,"Toa Alta","PR","Toa Alta"
"00955",18.410462,-66.060533,"San Juan","PR","San Juan"
"00956",18.32121,-66.17185,"Bayamon","PR","Bayamon"
"00957",18.36696,-66.18857,"Bayamon","PR","Bayamon"
"00958",18.34487,-66.166014,"Bayamon","PR","Bayamon"
"00959",18.3852,-66.15583,"Bayamon","PR","Bayamon"
"00960",18.41674,-66.14365,"Bayamon","PR","Bayamon"
"00961",18.40987,-66.16415,"Bayamon","PR","Bayamon"
"00962",18.43514,-66.13949,"Catano","PR","Catano"
"00963",18.443217,-66.139293,"Catano","PR","Catano"
"00965",18.42853,-66.11175,"Guaynabo","PR","Guaynabo"
"00966",18.39784,-66.11394,"Guaynabo","PR","Guaynabo"
"00968",18.40609,-66.10123,"Guaynabo","PR","San Juan"
"00969",18.36696,-66.11,"Guaynabo","PR","Guaynabo"
"00970",18.359143,-66.112295,"Guaynabo","PR","Guaynabo"
"00971",18.32067,-66.11751,"Guaynabo","PR","Guaynabo"
"00975",18.410462,-66.060533,"San Juan","PR","San Juan"
"00976",18.33903,-65.99286,"Trujillo Alto","PR","Trujillo Alto"
"00977",18.337004,-65.990099,"Trujillo Alto","PR","Trujillo Alto"
"00978",18.337004,-65.990099,"Saint Just Contract","PR","Trujillo Alto"
"00979",18.43734,-66.0089,"Carolina","PR","San Juan"
"00981",18.410462,-66.060533,"Carolina","PR","San Juan"
"00982",18.40961,-65.99143,"Carolina","PR","San Juan"
"00983",18.41788,-65.98104,"Carolina","PR","Carolina"
"00984",18.393355,-65.972495,"Carolina","PR","Carolina"
"00985",18.40628,-65.94767,"Carolina","PR","Carolina"
"00986",18.393355,-65.972495,"Carolina","PR","Carolina"
"00987",18.34115,-65.94257,"Carolina","PR","Carolina"
